SEQDAY,FCOUNT_NLDN,FCOUNT_STRUCTURE,FCOUNT_HAIL,FCOUNT_TVS,FIPS
1986-07-01,3,NULL,NULL,NULL,12057
1986-07-02,17,NULL,NULL,NULL,12057
1986-07-03,183,NULL,NULL,NULL,12057
1986-07-04,2,NULL,NULL,NULL,12057
1986-07-05,644,NULL,NULL,NULL,12057
1986-07-06,423,NULL,NULL,NULL,12057
1986-07-07,66,NULL,NULL,NULL,12057
1986-07-08,95,NULL,NULL,NULL,12057
1986-07-09,176,NULL,NULL,NULL,12057
1986-07-10,12,NULL,NULL,NULL,12057
1986-07-11,115,NULL,NULL,NULL,12057
1986-07-12,898,NULL,NULL,NULL,12057
1986-07-13,0,NULL,NULL,NULL,12057
1986-07-14,0,NULL,NULL,NULL,12057
1986-07-15,26,NULL,NULL,NULL,12057
1986-07-16,176,NULL,NULL,NULL,12057
1986-07-17,95,NULL,NULL,NULL,12057
1986-07-18,113,NULL,NULL,NULL,12057
1986-07-19,3,NULL,NULL,NULL,12057
1986-07-20,0,NULL,NULL,NULL,12057
1986-07-21,23,NULL,NULL,NULL,12057
1986-07-22,463,NULL,NULL,NULL,12057
1986-07-23,16,NULL,NULL,NULL,12057
1986-07-24,167,NULL,NULL,NULL,12057
1986-07-25,78,NULL,NULL,NULL,12057
1986-07-26,179,NULL,NULL,NULL,12057
1986-07-27,144,NULL,NULL,NULL,12057
1986-07-28,2,NULL,NULL,NULL,12057
1986-07-29,5,NULL,NULL,NULL,12057
1986-07-30,256,NULL,NULL,NULL,12057
1986-07-31,10,NULL,NULL,NULL,12057
1986-08-01,462,NULL,NULL,NULL,12057
1986-08-02,707,NULL,NULL,NULL,12057
1986-08-03,915,NULL,NULL,NULL,12057
1986-08-04,489,NULL,NULL,NULL,12057
1986-08-05,553,NULL,NULL,NULL,12057
1986-08-06,361,NULL,NULL,NULL,12057
1986-08-07,96,NULL,NULL,NULL,12057
1986-08-08,581,NULL,NULL,NULL,12057
1986-08-09,964,NULL,NULL,NULL,12057
1986-08-10,29,NULL,NULL,NULL,12057
1986-08-11,3,NULL,NULL,NULL,12057
1986-08-12,242,NULL,NULL,NULL,12057
1986-08-13,256,NULL,NULL,NULL,12057
1986-08-14,9,NULL,NULL,NULL,12057
1986-08-15,142,NULL,NULL,NULL,12057
1986-08-16,17,NULL,NULL,NULL,12057
1986-08-17,6,NULL,NULL,NULL,12057
1986-08-18,11,NULL,NULL,NULL,12057
1986-08-19,13,NULL,NULL,NULL,12057
1986-08-20,339,NULL,NULL,NULL,12057
1986-08-21,435,NULL,NULL,NULL,12057
1986-08-22,130,NULL,NULL,NULL,12057
1986-08-23,2,NULL,NULL,NULL,12057
1986-08-24,107,NULL,NULL,NULL,12057
1986-08-25,673,NULL,NULL,NULL,12057
1986-08-26,1147,NULL,NULL,NULL,12057
1986-08-27,872,NULL,NULL,NULL,12057
1986-08-28,82,NULL,NULL,NULL,12057
1986-08-29,33,NULL,NULL,NULL,12057
1986-08-30,408,NULL,NULL,NULL,12057
1986-08-31,628,NULL,NULL,NULL,12057
1986-09-01,86,NULL,NULL,NULL,12057
1986-09-02,491,NULL,NULL,NULL,12057
1986-09-03,36,NULL,NULL,NULL,12057
1986-09-04,406,NULL,NULL,NULL,12057
1986-09-05,214,NULL,NULL,NULL,12057
1986-09-06,535,NULL,NULL,NULL,12057
1986-09-07,53,NULL,NULL,NULL,12057
1986-09-08,161,NULL,NULL,NULL,12057
1986-09-09,647,NULL,NULL,NULL,12057
1986-09-10,160,NULL,NULL,NULL,12057
1986-09-11,21,NULL,NULL,NULL,12057
1986-09-12,0,NULL,NULL,NULL,12057
1986-09-13,38,NULL,NULL,NULL,12057
1986-09-14,17,NULL,NULL,NULL,12057
1986-09-15,17,NULL,NULL,NULL,12057
1986-09-16,0,NULL,NULL,NULL,12057
1986-09-17,1,NULL,NULL,NULL,12057
1986-09-18,12,NULL,NULL,NULL,12057
1986-09-19,0,NULL,NULL,NULL,12057
1986-09-20,0,NULL,NULL,NULL,12057
1986-09-21,0,NULL,NULL,NULL,12057
1986-09-22,20,NULL,NULL,NULL,12057
1986-09-23,83,NULL,NULL,NULL,12057
1986-09-24,100,NULL,NULL,NULL,12057
1986-09-25,0,NULL,NULL,NULL,12057
1986-09-26,0,NULL,NULL,NULL,12057
1986-09-27,0,NULL,NULL,NULL,12057
1986-09-28,0,NULL,NULL,NULL,12057
1986-09-29,0,NULL,NULL,NULL,12057
1986-09-30,78,NULL,NULL,NULL,12057
1986-10-01,257,NULL,NULL,NULL,12057
1986-10-02,25,NULL,NULL,NULL,12057
1986-10-03,0,NULL,NULL,NULL,12057
1986-10-04,0,NULL,NULL,NULL,12057
1986-10-05,0,NULL,NULL,NULL,12057
1986-10-06,142,NULL,NULL,NULL,12057
1986-10-07,604,NULL,NULL,NULL,12057
1986-10-08,28,NULL,NULL,NULL,12057
1986-10-09,0,NULL,NULL,NULL,12057
1986-10-10,195,NULL,NULL,NULL,12057
1986-10-11,0,NULL,NULL,NULL,12057
1986-10-12,0,NULL,NULL,NULL,12057
1986-10-13,0,NULL,NULL,NULL,12057
1986-10-14,6,NULL,NULL,NULL,12057
1986-10-15,8,NULL,NULL,NULL,12057
1986-10-16,0,NULL,NULL,NULL,12057
1986-10-17,0,NULL,NULL,NULL,12057
1986-10-18,0,NULL,NULL,NULL,12057
1986-10-19,0,NULL,NULL,NULL,12057
1986-10-20,0,NULL,NULL,NULL,12057
1986-10-21,0,NULL,NULL,NULL,12057
1986-10-22,0,NULL,NULL,NULL,12057
1986-10-23,0,NULL,NULL,NULL,12057
1986-10-24,0,NULL,NULL,NULL,12057
1986-10-25,0,NULL,NULL,NULL,12057
1986-10-26,24,NULL,NULL,NULL,12057
1986-10-27,4,NULL,NULL,NULL,12057
1986-10-28,0,NULL,NULL,NULL,12057
1986-10-29,0,NULL,NULL,NULL,12057
1986-10-30,0,NULL,NULL,NULL,12057
1986-10-31,0,NULL,NULL,NULL,12057
1986-11-01,4,NULL,NULL,NULL,12057
1986-11-02,0,NULL,NULL,NULL,12057
1986-11-03,0,NULL,NULL,NULL,12057
1986-11-04,0,NULL,NULL,NULL,12057
1986-11-05,0,NULL,NULL,NULL,12057
